Initial Auc,Initial F1_score,Initial Accuracy,Initial Mcc,Initial Precision,Initial Recall,Initial Loss,Augmented Auc,Augmented F1_score,Augmented Accuracy,Augmented Mcc,Augmented Precision,Augmented Recall,Augmented Loss,Model,Prefix Length,Augmentation Factor,Simulation
0.6603174603174603,0.5425925925925927,0.6752136752136753,0.21684189669726028,0.5685714285714285,0.6714285714285715,0.21684189669726028,0.6047619047619048,0.4301948051948052,0.48717948717948717,0.17276887014198744,0.5531212484993997,0.6404761904761905,0.17276887014198744,xgboost,1,0.3,True
0.5757936507936509,0.4789159480716384,0.5982905982905983,0.11273900848248332,0.5346638655462185,0.5916666666666667,0.11273900848248332,0.5976190476190476,0.2544495715227423,0.2564102564102564,0.14414999403128945,0.5606060606060606,0.5857142857142857,0.14414999403128945,xgboost,2,0.3,True
0.5380952380952381,0.5110896817743491,0.6666666666666666,0.11952286093343936,0.5384615384615385,0.5928571428571429,0.11952286093343936,0.6277777777777779,0.398972602739726,0.4358974358974359,0.18925496014983784,0.5601732991014121,0.6488095238095237,0.18925496014983784,xgboost,3,0.3,True
0.44761904761904764,0.5066964285714285,0.7094017094017094,0.05955500003825581,0.5206896551724138,0.5428571428571428,0.05955500003825581,0.7158730158730159,0.4615384615384615,0.5213675213675214,0.24036037369686683,0.5735294117647058,0.6964285714285714,0.24036037369686683,xgboost,4,0.3,True
0.45476190476190476,0.5237449118046132,0.7692307692307693,0.06211616832473602,0.5245535714285714,0.5392857142857144,0.06211616832473602,0.5666666666666667,0.3434343434343434,0.358974358974359,0.19851666679418606,0.5689655172413793,0.6428571428571428,0.19851666679418606,xgboost,5,0.3,True
0.580952380952381,0.540009250693802,0.7094017094017094,0.1559134397950261,0.5520907158043941,0.6166666666666667,0.1559134397950261,0.5325396825396825,0.607645875251509,0.8717948717948718,0.21957751641341997,0.625,0.5964285714285714,0.21957751641341997,xgboost,6,0.3,True
0.48968253968253966,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.5722222222222222,0.6017945544554455,0.811965811965812,0.22066474748033416,0.5889175257731959,0.6369047619047619,0.22066474748033416,xgboost,7,0.3,True
0.5103174603174604,0.5120687476304815,0.717948717948718,0.06691995472465075,0.5235109717868338,0.5476190476190476,0.06691995472465075,0.7023809523809524,0.5986277873070325,0.8632478632478633,0.19894581989158872,0.6079439252336448,0.5916666666666667,0.19894581989158872,xgboost,8,0.3,True
0.4365079365079365,0.5185185185185186,0.8034188034188035,0.03889222341312986,0.5176470588235295,0.5214285714285715,0.03889222341312986,0.5976190476190476,0.3995262534544019,0.4444444444444444,0.14614174528030688,0.5457658779576589,0.6166666666666667,0.14614174528030688,xgboost,9,0.3,True
0.5206349206349206,0.5131761442441055,0.7948717948717948,0.02943359702216782,0.5129950495049505,0.5166666666666667,0.02943359702216782,0.6619047619047619,0.5732323232323232,0.7777777777777778,0.1771022511807004,0.5665322580645161,0.6178571428571429,0.1771022511807004,xgboost,10,0.3,True
0.5095238095238095,0.5464465183058147,0.7692307692307693,0.11632903122046286,0.5444033302497687,0.5761904761904761,0.11632903122046286,0.5936507936507938,0.3995262534544019,0.4444444444444444,0.14614174528030688,0.5457658779576589,0.6166666666666667,0.14614174528030688,xgboost,11,0.3,True
0.3817460317460317,0.5182352941176471,0.7606837606837606,0.053611855331873834,0.5208133971291866,0.5345238095238095,0.053611855331873834,0.6349206349206349,0.5974770642201834,0.8974358974358975,0.24646681577215365,0.7057522123893805,0.5738095238095238,0.24646681577215365,xgboost,12,0.3,True
0.5142857142857142,0.5237449118046132,0.7692307692307693,0.06211616832473602,0.5245535714285714,0.5392857142857144,0.06211616832473602,0.5555555555555555,0.5943134535367546,0.8290598290598291,0.19342078043138852,0.5853960396039604,0.6095238095238095,0.19342078043138852,xgboost,13,0.3,True
0.5444444444444445,0.5175257731958762,0.7264957264957265,0.07449285849342499,0.5264847512038523,0.5523809523809524,0.07449285849342499,0.6444444444444444,0.5538461538461538,0.7521367521367521,0.14915990496335552,0.5537037037037037,0.6035714285714285,0.14915990496335552,xgboost,14,0.3,True
0.6603174603174603,0.5425925925925927,0.6752136752136753,0.21684189669726028,0.5685714285714285,0.6714285714285715,0.21684189669726028,0.6817460317460317,0.42428571428571427,0.4700854700854701,0.20935463949806576,0.5652777777777778,0.6678571428571428,0.20935463949806576,xgboost,1,0.5,True
0.5757936507936509,0.4789159480716384,0.5982905982905983,0.11273900848248332,0.5346638655462185,0.5916666666666667,0.11273900848248332,0.611904761904762,0.23026315789473684,0.23076923076923078,0.12964074471043288,0.5588235294117647,0.5714285714285714,0.12964074471043288,xgboost,2,0.5,True
0.5380952380952381,0.5110896817743491,0.6666666666666666,0.11952286093343936,0.5384615384615385,0.5928571428571429,0.11952286093343936,0.6388888888888888,0.41187265618766455,0.46153846153846156,0.15675945944431355,0.548683404776485,0.6261904761904762,0.15675945944431355,xgboost,3,0.5,True
0.44761904761904764,0.5066964285714285,0.7094017094017094,0.05955500003825581,0.5206896551724138,0.5428571428571428,0.05955500003825581,0.6880952380952381,0.42898502771114244,0.49572649572649574,0.13228756555322954,0.5403846153846154,0.6083333333333334,0.13228756555322954,xgboost,4,0.5,True
0.45476190476190476,0.5237449118046132,0.7692307692307693,0.06211616832473602,0.5245535714285714,0.5392857142857144,0.06211616832473602,0.6904761904761905,0.3434343434343434,0.358974358974359,0.19851666679418606,0.5689655172413793,0.6428571428571428,0.19851666679418606,xgboost,5,0.5,True
