dataset,heuristic,model,method,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,4,10,10,0.024228,18.869841,18.894069000000002,0.023389745510482444,0.38583334365000005,0.06999999999999999,0.06999999999999999,0.0646995338868401,0.0646995338868401,0.08117424289318181,1.5104824474532208e-09,2.4916666706113753e-08,0.0,0.0,6.865829306605549e-11,6.865829306605549e-11,1.132575759368807e-09,0.050517811510482444,0.8333333990416667,0.2,0.2,0.1841144459777492,0.1841144459777492,0.21969697268371213,0.016446354666666666,0.27129632552222216,0.09999999999999998,0.09999999999999998,0.09165665248484846,0.1032407420691919,0.0,0.0,0.0,0.0,0.0,0.0,0.050517809999999996,0.833333374125,0.2,0.2,0.1841144459090909,0.21969697155113638,0.009318181818181817,0.020454545454545454,0.029772727272727274,1.2,0.05454545454545454,5.368749994841667,0.5368749994841667,0.5368749994841667,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,4,15,15,0.024228,28.848595,28.872823,0.041188853510482445,0.6794444626999999,0.05999999999999999,0.05999999999999999,0.056417675159567374,0.056417675159567374,0.08542929375909089,1.5104824474532208e-09,2.4916666706113753e-08,0.0,0.0,6.865829306605549e-11,6.865829306605549e-11,1.132575759368807e-09,0.07577671151048244,1.250000003625,0.1,0.1,0.09435348688684012,0.09435348688684012,0.14772727289204546,0.029367686285714283,0.4844444583547619,0.07809523809523809,0.07809523809523809,0.07233056582683982,0.09301587364816016,0.0,0.0,0.0,0.0,0.0,0.0,0.07577671,1.2499999787083333,0.2,0.2,0.18526257772727273,0.23863636266856061,0.010202020202020202,0.016565656565656565,0.026767676767676767,1.1,0.05,7.7379166529750005,0.5158611101983334,0.5158611101983334,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,4,20,20,0.024228,37.899097,37.923325,0.07464006301048245,1.2312500394104169,0.05500000000000001,0.05500000000000001,0.053392730136840115,0.053392730136840115,0.10596591088229168,1.5104824474532208e-09,2.4916666706113753e-08,0.0,0.0,6.865829306605549e-11,6.865829306605549e-11,1.132575759368807e-09,0.17176055151048247,2.833333430958334,0.1,0.1,0.09871638870502193,0.09871638870502193,0.21969697413446973,0.06292126099999999,1.0379386345791666,0.08368421052631576,0.08368421052631576,0.07893661234210524,0.123255583868431,0.0,0.0,0.0,0.0,0.0,0.0,0.17176055,2.833333406041667,0.2,0.2,0.18962547954545456,0.3106060639109849,0.010511363636363636,0.018068181818181817,0.028579545454545455,1.05,0.04772727272727273,10.082083293922915,0.5041041646961457,0.5041041646961457,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,1,5,5,0.022059,9.460486,9.482545,0.047284669719626166,0.7800000309166666,0.0,0.0,0.0021493031690739167,0.0021493031690739167,0.03545454685984848,0.030310678598130858,0.4999999023750003,0.0,0.0,0.0013777581180968571,0.0013777581180968571,0.022727268289772742,0.07072492859813087,1.1666666346666672,0.0,0.0,0.0032147694817332216,0.0032147694817332216,0.0530303015757576,0.06547108399999998,1.0800000898166666,0.0,0.0,0.002975958363636363,0.049090913173484844,0.006062149999999988,0.10000021604166648,0.0,0.0,0.0002755522727272722,0.004545464365530294,0.12124274999999998,2.000000196875,0.0,0.0,0.00551103409090909,0.09090909985795455,0.00909090909090909,0.0,0.00909090909090909,0.5,0.022727272727272728,0.19500000772916667,0.039000001545833336,0.039000001545833336,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,1,10,10,0.022059,18.914939,18.936998,0.07645061915887852,1.2611166718750002,0.0,0.0,0.0034750281435853873,0.0034750281435853873,0.057323485085227284,0.030310678598130858,0.4999999023750003,0.0,0.0,0.0013777581180968571,0.0013777581180968571,0.022727268289772742,0.11619095859813086,1.9166666878750003,0.0,0.0,0.005281407209005948,0.005281407209005948,0.08712121308522729,0.07308984044444444,1.2056778263314814,0.0,0.0,0.003322265474747475,0.05480353756052188,0.00235413000000001,0.03883333612500016,0.0,0.0,0.00010700590909090954,0.001765151642045462,0.21722657999999997,3.5833334592499995,0.0,0.0,0.009873935454545454,0.1628787936022727,0.010227272727272727,0.0,0.010227272727272727,0.5,0.022727272727272728,0.6305583359375002,0.06305583359375003,0.06305583359375003,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,1,15,15,0.022059,28.119601,28.141659999999998,0.10850282030529596,1.789844439952778,0.0,0.0,0.004931946377513452,0.004931946377513452,0.081356565452399,0.030310678598130858,0.4999999023750003,0.0,0.0,0.0013777581180968571,0.0013777581180968571,0.022727268289772742,0.17176053859813087,2.8333332179583337,0.0,0.0,0.007807297209005949,0.007807297209005949,0.12878787354356064,0.0926964238095238,1.5291047577579366,0.0,0.0,0.004213473809523809,0.06950476171626985,0.0013235600000000014,0.02183322516666669,0.0,0.0,6.0161818181818244e-05,0.0009924193257575768,0.29805506000000004,4.916666593916667,0.0,0.0,0.013547957272727274,0.22348484517803033,0.010606060606060607,0.0,0.010606060606060607,0.5,0.022727272727272728,1.3423833299645835,0.0894922219976389,0.0894922219976389,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,1,20,20,0.022059,37.292043,37.314102,0.13429704323831776,2.2153416424187506,0.0,0.0,0.006104411056287171,0.006104411056287171,0.10069734738267049,0.030310678598130858,0.4999999023750003,0.0,0.0,0.0013777581180968571,0.0013777581180968571,0.022727268289772742,0.19196766859813086,3.1666666665833336,0.0,0.0,0.008725803118096858,0.008725803118096858,0.1439393939356061,0.08627936342105262,1.4232499990997807,0.0,0.0,0.0039217892464114825,0.06469318177726276,0.0006466299999999953,0.010666700708333256,0.0,0.0,2.9392272727272514e-05,0.0004848500321969662,0.34352108,5.666666482166666,0.0,0.0,0.015614594545454545,0.2575757491893939,0.010795454545454546,0.0,0.010795454545454546,0.5,0.022727272727272728,2.2153416424187506,0.11076708212093753,0.11076708212093753,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,2,5,5,0.022059,11.741111,11.76317,0.03132104722505682,0.5166667748499998,0.45,0.45,0.4105145930556844,0.4105145930556844,0.4325757624931818,1.3874715820705319e-08,2.2887499972571815e-07,0.45,0.45,0.40909090972157797,0.40909090972157797,0.40909091949431814,0.050517816125284165,0.8333334751666667,0.45,0.45,0.4113871734602402,0.4113871734602402,0.44696970341666664,0.04748674799999999,0.7833334805499998,0.06,0.06,0.056703943090909086,0.09015152184318181,0.015155340000000017,0.24999996275000028,0.0,0.0,0.0006888790909090917,0.011363634670454559,0.10103562999999999,1.6666669132083332,0.1,0.1,0.09550161954545455,0.16666667787310607,0.00909090909090909,0.01090909090909091,0.02,5.0,0.22727272727272727,0.3525000204958333,0.07050000409916665,0.07050000409916665,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,2,10,10,0.022059,21.890394,21.912453,0.08458398622505683,1.3952833394375,0.45,0.45,0.4129356357375025,0.4129356357375025,0.4725128790653409,1.3874715820705319e-08,2.2887499972571815e-07,0.45,0.45,0.40909090972157797,0.40909090972157797,0.40909091949431814,0.14263197612528417,2.3528333061666666,0.45,0.45,0.4155741807329674,0.4155741807329674,0.5160378775530303,0.10580741311111112,1.745381452112037,0.035555555555555556,0.035555555555555556,0.037132660191919194,0.11165875287377947,0.0010103399999999985,0.016666400249999973,0.0,0.0,4.5924545454545385e-05,0.0007575636477272715,0.24366758,4.019499788416667,0.1,0.1,0.10198489000000001,0.27361362674621215,0.010227272727272727,0.007272727272727273,0.0175,5.0,0.22727272727272727,1.3743083363854167,0.13743083363854167,0.13743083363854167,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic_conformance,20,2,15,15,0.022059,32.309901,32.33196,0.09074143270842806,1.4968555503861112,0.45333333333333337,0.45333333333333337,0.41624582269886795,0.41624582269886795,0.4801601007751263,1.3874715820705319e-08,2.2887499972571815e-07,0.45,0.45,0.40909090972157797,0.40909090972157797,0.40909091949431814,0.17681232612528416,2.9166666630416667,0.5,0.5,0.4625823784602402,0.4625823784602402,0.5871212119564394,0.1141192438095238,1.8824920260079365,0.05809523809523809,0.05809523809523809,0.05800109116883116,0.1383816721778499,0.0010103399999999985,0.016666400249999973,0.0,0.0,4.5924545454545385e-05,0.0007575636477272715,0.28795149,4.749999787125,0.15,0.15,0.14945234045454545,0.3522727175965909,0.010606060606060607,0.012323232323232323,0.022929292929292928,5.033333333333333,0.2287878787878788,1.89180832290625,0.12612055486041665,0.12612055486041665,1.0
