Initial Accuracy,Initial AUC,Initial F1 Score,Initial Loss,Initial MCC,Initial Precision,Initial Recall,Augmented Accuracy,Augmented AUC,Augmented F1 Score,Augmented Loss,Augmented MCC,Augmented Precision,Augmented Recall,Model,Prefix Length,Augmentation Factor,Simulation
0.8632478632478633,0.32222222222222224,0.463302752293578,-0.06360433955410418,-0.06360433955410418,0.4469026548672566,0.48095238095238096,0.8974358974358975,0.5103174603174603,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,5,0.3,True
0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.4188034188034188,0.5111111111111111,0.38075965130759654,0.13020741258308843,0.13020741258308843,0.5413992297817715,0.6023809523809525,randomForestClassifier,5,0.3,True
0.8632478632478633,0.32222222222222224,0.463302752293578,-0.06360433955410418,-0.06360433955410418,0.4469026548672566,0.48095238095238096,0.8974358974358975,0.4285714285714286,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,5,0.5,True
0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.2564102564102564,0.5214285714285715,0.2544495715227423,0.14414999403128945,0.14414999403128945,0.5606060606060606,0.5857142857142857,randomForestClassifier,5,0.5,True
0.8632478632478633,0.32222222222222224,0.463302752293578,-0.06360433955410418,-0.06360433955410418,0.4469026548672566,0.48095238095238096,0.8974358974358975,0.5182539682539682,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,5,0.7,True
0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.3418803418803419,0.5214285714285715,0.3177584248390761,0.030228115878627507,0.030228115878627507,0.5100992204110559,0.5226190476190476,randomForestClassifier,5,0.7,True
0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.3418803418803419,0.5515873015873016,0.3220708856949357,0.08102546544402055,0.08102546544402055,0.5275735294117647,0.5595238095238095,randomForestClassifier,5,0.7,True
0.8717948717948718,0.4944444444444445,0.4657534246575342,-0.05484084971070818,-0.05484084971070818,0.4473684210526316,0.4857142857142857,0.8632478632478633,0.48333333333333334,0.5185185185185186,0.049123593243241205,0.049123593243241205,0.5337837837837838,0.5178571428571428,xgboost,7,0.3,False
0.8974358974358975,0.44285714285714284,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.42619047619047623,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,7,0.3,False
0.8717948717948718,0.4944444444444445,0.4657534246575342,-0.05484084971070818,-0.05484084971070818,0.4473684210526316,0.4857142857142857,0.8974358974358975,0.5063492063492063,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,7,0.3,True
0.8974358974358975,0.44285714285714284,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.39761904761904754,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,7,0.3,True
0.8717948717948718,0.4944444444444445,0.4657534246575342,-0.05484084971070818,-0.05484084971070818,0.4473684210526316,0.4857142857142857,0.8974358974358975,0.5468253968253969,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,7,0.5,True
0.8974358974358975,0.44285714285714284,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.4226190476190476,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,7,0.5,True
0.8717948717948718,0.4944444444444445,0.4657534246575342,-0.05484084971070818,-0.05484084971070818,0.4473684210526316,0.4857142857142857,0.8974358974358975,0.4277777777777778,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,7,0.7,True
0.8974358974358975,0.44285714285714284,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.47539682539682543,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,7,0.7,True
0.8803418803418803,0.44285714285714284,0.4681818181818182,-0.04458225700602823,-0.04458225700602823,0.44782608695652176,0.49047619047619045,0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,9,0.3,True
0.8974358974358975,0.41190476190476194,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.3924603174603174,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,9,0.3,True
0.8803418803418803,0.44285714285714284,0.4681818181818182,-0.04458225700602823,-0.04458225700602823,0.44782608695652176,0.49047619047619045,0.8974358974358975,0.5523809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,9,0.5,True
0.8974358974358975,0.41190476190476194,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.4246031746031746,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,9,0.5,True
0.8803418803418803,0.44285714285714284,0.4681818181818182,-0.04458225700602823,-0.04458225700602823,0.44782608695652176,0.49047619047619045,0.8974358974358975,0.4023809523809524,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,xgboost,9,0.7,True
0.8974358974358975,0.41190476190476194,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,0.8974358974358975,0.41507936507936505,0.472972972972973,0.0,0.0,0.44871794871794873,0.5,randomForestClassifier,9,0.7,True
