Initial Accuracy,Initial AUC,Initial F1 Score,Initial Loss,Initial MCC,Initial Precision,Initial Recall,Augmented Accuracy,Augmented AUC,Augmented F1 Score,Augmented Loss,Augmented MCC,Augmented Precision,Augmented Recall,Model,Prefix Length,Augmentation Factor,Simulation
0.8810511756569848,0.9210961403242053,0.8391537840690384,0.6924353695678803,0.6924353695678803,0.88124481519034,0.8144086961479258,0.8478561549100968,0.8821383098002697,0.780260162242214,0.6004417541880513,0.6004417541880513,0.8620646766169153,0.7489405370479467,xgboost,3,0.3,True
0.8810511756569848,0.9210961403242053,0.8391537840690384,0.6924353695678803,0.6924353695678803,0.88124481519034,0.8144086961479258,0.8243430152143845,0.8463588681324947,0.7841461264501569,0.5685029037948476,0.5685029037948476,0.7813471599054232,0.7871857243305904,xgboost,3,0.3,True
0.8589211618257261,0.8683415366488665,0.8054646942134807,0.6310200450281078,0.6310200450281078,0.8563489369954668,0.7793513996313259,0.8326417704011065,0.8559843028448716,0.7566624850839887,0.5550107779149959,0.5550107779149959,0.8380934247270881,0.7277750327815891,randomForestClassifier,3,0.3,True
0.8810511756569848,0.9210961403242053,0.8391537840690384,0.6924353695678803,0.6924353695678803,0.88124481519034,0.8144086961479258,0.8437067773167358,0.8728026833393513,0.7965788982259571,0.5972587408124473,0.5972587408124473,0.8140672622175512,0.7839503240151271,xgboost,3,0.5,True
0.8589211618257261,0.8683415366488665,0.8054646942134807,0.6310200450281078,0.6310200450281078,0.8563489369954668,0.7793513996313259,0.8160442600276625,0.8604644533551244,0.7093884582256675,0.5106638248410629,0.5106638248410629,0.8593938253012048,0.6814009615932802,randomForestClassifier,3,0.5,True
0.8810511756569848,0.9210961403242053,0.8391537840690384,0.6924353695678803,0.6924353695678803,0.88124481519034,0.8144086961479258,0.8423236514522822,0.8437933524638452,0.770222802087515,0.5844817549950396,0.5844817549950396,0.8572828495142873,0.7390395469489368,xgboost,3,0.7,True
0.8589211618257261,0.8683415366488665,0.8054646942134807,0.6310200450281078,0.6310200450281078,0.8563489369954668,0.7793513996313259,0.8395573997233748,0.8491334258185894,0.7607217036039531,0.578515479042884,0.578515479042884,0.8669306749029082,0.728026833393512,randomForestClassifier,3,0.7,True
0.8796680497925311,0.9325269379145209,0.8411562830656097,0.6896872393730347,0.6896872393730347,0.8686868686868687,0.8225423310085327,0.8506224066390041,0.8715009216852587,0.78887542990634,0.6074643162992899,0.6074643162992899,0.8548839019328058,0.7599532506033713,xgboost,5,0.3,True
0.8589211618257261,0.8905047414530319,0.7997556207233626,0.6318259443162468,0.6318259443162468,0.8713629201680673,0.7687425172459664,0.8520055325034578,0.8623980920164953,0.7798071914679237,0.6172517996404475,0.6172517996404475,0.8899820973419104,0.7442418426103647,randomForestClassifier,5,0.3,True
0.8796680497925311,0.9325269379145209,0.8411562830656097,0.6896872393730347,0.6896872393730347,0.8686868686868687,0.8225423310085327,0.8423236514522822,0.8546825411907795,0.7799169034242626,0.5837181538527662,0.5837181538527662,0.8351037178073955,0.754195093213736,xgboost,5,0.5,True
0.8589211618257261,0.8905047414530319,0.7997556207233626,0.6318259443162468,0.6318259443162468,0.8713629201680673,0.7687425172459664,0.8229598893499308,0.8448053058664792,0.7396412414755464,0.5257227058309996,0.5257227058309996,0.8259805354220249,0.7119638547348017,randomForestClassifier,5,0.5,True
0.8796680497925311,0.9325269379145209,0.8411562830656097,0.6896872393730347,0.6896872393730347,0.8686868686868687,0.8225423310085327,0.8506224066390041,0.8660515763668498,0.785204991087344,0.6083517360798835,0.6083517360798835,0.8644199558113527,0.7538910320974517,xgboost,5,0.7,True
0.8589211618257261,0.8905047414530319,0.7997556207233626,0.6318259443162468,0.6318259443162468,0.8713629201680673,0.7687425172459664,0.8298755186721992,0.8591009292867866,0.7394044887517472,0.5516385030827303,0.5516385030827303,0.866334227287965,0.7076689914672849,randomForestClassifier,5,0.7,True
0.8492392807745505,0.894946884323749,0.7827386285629216,0.6044023602811184,0.6044023602811184,0.8632451058455287,0.7514157845726992,0.8589211618257261,0.8735105756257009,0.8106668994413408,0.6325709256223456,0.6325709256223456,0.8450006783340116,0.7899602820166853,randomForestClassifier,3,0.3,True
