Initial Auc,Initial F1_score,Initial Accuracy,Initial Mcc,Initial Precision,Initial Recall,Initial Loss,Augmented Auc,Augmented F1_score,Augmented Accuracy,Augmented Mcc,Augmented Precision,Augmented Recall,Augmented Loss,Model,Prefix Length,Augmentation Factor,Simulation
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.5365079365079365,0.472972972972973,0.8974358974358975,0.0,0.44871794871794873,0.5,0.0,xgboost,3,0.3,True
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.5246031746031745,0.30033222591362124,0.3076923076923077,0.17173551629643674,0.564516129032258,0.6142857142857143,0.17173551629643674,xgboost,3,0.5,True
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.5325396825396825,0.3076923076923077,0.3162393162393162,0.17622684421256035,0.5652173913043478,0.6190476190476191,0.17622684421256035,xgboost,3,0.7,True
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.5166666666666667,0.4402905740609496,0.5384615384615384,0.07085542889065516,0.521516393442623,0.5583333333333333,0.07085542889065516,xgboost,5,0.3,True
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.4444444444444444,0.5484562607204118,0.8461538461538461,0.09818105397247236,0.5532710280373832,0.5452380952380953,0.09818105397247236,xgboost,5,0.5,True
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.423015873015873,0.5441558441558441,0.8974358974358975,0.17275624589835936,0.7021739130434783,0.5369047619047619,0.17275624589835936,xgboost,5,0.7,True
0.6896825396825398,0.5601503759398496,0.7606837606837606,0.15811388300841897,0.5576923076923077,0.6083333333333334,0.15811388300841897,0.3738095238095238,0.5520361990950227,0.905982905982906,0.2746471090012757,0.9525862068965517,0.5416666666666666,0.2746471090012757,xgboost,7,0.3,True
0.6896825396825398,0.5601503759398496,0.7606837606837606,0.15811388300841897,0.5576923076923077,0.6083333333333334,0.15811388300841897,0.5126984126984128,0.5441558441558441,0.8974358974358975,0.17275624589835936,0.7021739130434783,0.5369047619047619,0.17275624589835936,xgboost,7,0.5,True
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.44365079365079374,0.5537447988904299,0.811965811965812,0.11142718872677818,0.5491955445544554,0.5630952380952381,0.11142718872677818,xgboost,3,0.3,False
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.5642857142857143,0.6017945544554455,0.811965811965812,0.22066474748033416,0.5889175257731959,0.6369047619047619,0.22066474748033416,xgboost,3,0.5,False
0.6896825396825398,0.5601503759398496,0.7606837606837606,0.15811388300841897,0.5576923076923077,0.6083333333333334,0.15811388300841897,0.5174603174603174,0.5745454545454546,0.8376068376068376,0.1494035761667992,0.5721153846153846,0.5773809523809523,0.1494035761667992,xgboost,7,0.7,True
0.5650793650793651,0.552153110047847,0.7264957264957265,0.17177398674132358,0.5584558823529412,0.6261904761904762,0.17177398674132358,0.45793650793650786,0.5297607655502392,0.8205128205128205,0.05976143046671968,0.5288461538461539,0.530952380952381,0.05976143046671968,xgboost,3,0.7,False
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.42619047619047623,0.49828473413379076,0.8290598290598291,-0.002583711946644009,0.4985981308411215,0.4988095238095238,-0.002583711946644009,xgboost,5,0.3,False
0.5293650793650793,0.5014002191647389,0.7008547008547008,0.05237884142107666,0.5180045011252813,0.5380952380952381,0.05237884142107666,0.5214285714285714,0.5870588235294117,0.7948717948717948,0.1978092593279483,0.5767942583732057,0.6273809523809524,0.1978092593279483,xgboost,9,0.3,True
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.4563492063492063,0.5297607655502392,0.8205128205128205,0.05976143046671968,0.5288461538461539,0.530952380952381,0.05976143046671968,xgboost,5,0.5,False
0.5293650793650793,0.5014002191647389,0.7008547008547008,0.05237884142107666,0.5180045011252813,0.5380952380952381,0.05237884142107666,0.5341269841269841,0.5520361990950227,0.905982905982906,0.2746471090012757,0.9525862068965517,0.5416666666666666,0.2746471090012757,xgboost,9,0.5,True
0.48650793650793656,0.5128499641062455,0.7521367521367521,0.04544102782049331,0.5173450508788159,0.5297619047619048,0.04544102782049331,0.4849206349206349,0.4980136659780709,0.7692307692307693,0.00391720355076487,0.5016111707841031,0.5023809523809524,0.00391720355076487,xgboost,5,0.7,False
0.6896825396825398,0.5601503759398496,0.7606837606837606,0.15811388300841897,0.5576923076923077,0.6083333333333334,0.15811388300841897,0.5880952380952381,0.5473507148864593,0.8034188034188035,0.10044020755712149,0.543235294117647,0.5583333333333333,0.10044020755712149,xgboost,7,0.3,False
0.5293650793650793,0.5014002191647389,0.7008547008547008,0.05237884142107666,0.5180045011252813,0.5380952380952381,0.05237884142107666,0.569047619047619,0.6511249661154784,0.905982905982906,0.3464285714285714,0.7598214285714285,0.6154761904761905,0.3464285714285714,xgboost,9,0.7,True
